stationcode,name,latitude,longitude,nom_arrondissement_communes,id,record_timestamp,ebike,mechanical,duedate,numbikesavailable,numdocksavailable,capacity,is_renting,is_installed,is_returning
17041,Guersant - Gouvion-Saint-Cyr,48.8828777518,2.2876673708,Paris,13474,2024-07-22T04:39:00.436+02:00,1,19,2024-07-22T03:50:08+02:00,20,15,36,OUI,OUI,OUI
17041,Guersant - Gouvion-Saint-Cyr,48.8828777518,2.2876673708,Paris,14970,2024-07-22T04:41:00.336+02:00,1,19,2024-07-22T03:50:08+02:00,20,15,36,OUI,OUI,OUI
17041,Guersant - Gouvion-Saint-Cyr,48.8828777518,2.2876673708,Paris,16468,2024-07-22T04:43:01.281+02:00,1,19,2024-07-22T03:50:08+02:00,20,15,36,OUI,OUI,OUI
17041,Guersant - Gouvion-Saint-Cyr,48.8828777518,2.2876673708,Paris,17963,2024-07-22T04:45:01.442+02:00,1,19,2024-07-22T03:50:08+02:00,20,15,36,OUI,OUI,OUI
17041,Guersant - Gouvion-Saint-Cyr,48.8828777518,2.2876673708,Paris,19459,2024-07-22T04:49:00.335+02:00,1,19,2024-07-22T03:50:08+02:00,20,15,36,OUI,OUI,OUI
17041,Guersant - Gouvion-Saint-Cyr,48.8828777518,2.2876673708,Paris,20955,2024-07-22T04:51:01.555+02:00,1,19,2024-07-22T03:50:08+02:00,20,15,36,OUI,OUI,OUI
15047,Morillons - Dantzig,48.8331014995,2.2993800044,Paris,9,2024-07-22T04:19:01.377+02:00,12,2,2024-07-22T03:51:26+02:00,14,38,52,OUI,OUI,OUI
15047,Morillons - Dantzig,48.8331014995,2.2993800044,Paris,1507,2024-07-22T04:22:00.326+02:00,12,2,2024-07-22T03:51:26+02:00,14,38,52,OUI,OUI,OUI
15047,Morillons - Dantzig,48.8331014995,2.2993800044,Paris,3001,2024-07-22T04:21:00.518+02:00,12,2,2024-07-22T03:51:26+02:00,14,38,52,OUI,OUI,OUI
15047,Morillons - Dantzig,48.8331014995,2.2993800044,Paris,4497,2024-07-22T04:25:00.791+02:00,12,2,2024-07-22T03:51:26+02:00,14,38,52,OUI,OUI,OUI
15047,Morillons - Dantzig,48.8331014995,2.2993800044,Paris,5993,2024-07-22T04:27:00.312+02:00,12,2,2024-07-22T03:51:26+02:00,14,38,52,OUI,OUI,OUI
15047,Morillons - Dantzig,48.8331014995,2.2993800044,Paris,7490,2024-07-22T04:29:00.488+02:00,12,2,2024-07-22T03:51:26+02:00,14,38,52,OUI,OUI,OUI
15047,Morillons - Dantzig,48.8331014995,2.2993800044,Paris,8988,2024-07-22T04:31:00.625+02:00,12,2,2024-07-22T03:51:26+02:00,14,38,52,OUI,OUI,OUI
15047,Morillons - Dantzig,48.8331014995,2.2993800044,Paris,10483,2024-07-22T04:35:00.522+02:00,12,2,2024-07-22T03:51:26+02:00,14,38,52,OUI,OUI,OUI
15047,Morillons - Dantzig,48.8331014995,2.2993800044,Paris,11979,2024-07-22T04:37:01.327+02:00,12,2,2024-07-22T03:51:26+02:00,14,38,52,OUI,OUI,OUI
15047,Morillons - Dantzig,48.8331014995,2.2993800044,Paris,13475,2024-07-22T04:39:00.436+02:00,12,2,2024-07-22T03:51:26+02:00,14,38,52,OUI,OUI,OUI
15047,Morillons - Dantzig,48.8331014995,2.2993800044,Paris,14971,2024-07-22T04:41:00.336+02:00,12,2,2024-07-22T03:51:26+02:00,14,38,52,OUI,OUI,OUI
15047,Morillons - Dantzig,48.8331014995,2.2993800044,Paris,16470,2024-07-22T04:43:01.281+02:00,12,2,2024-07-22T03:51:26+02:00,14,38,52,OUI,OUI,OUI
15047,Morillons - Dantzig,48.8331014995,2.2993800044,Paris,17965,2024-07-22T04:45:01.442+02:00,12,2,2024-07-22T03:51:26+02:00,14,38,52,OUI,OUI,OUI
15047,Morillons - Dantzig,48.8331014995,2.2993800044,Paris,19461,2024-07-22T04:49:00.335+02:00,12,2,2024-07-22T03:51:26+02:00,14,38,52,OUI,OUI,OUI
15047,Morillons - Dantzig,48.8331014995,2.2993800044,Paris,20957,2024-07-22T04:51:01.555+02:00,12,2,2024-07-22T03:51:26+02:00,14,38,52,OUI,OUI,OUI
14108,Le Brix et Mesmin - Jourdan,48.8223409659,2.3278616533,Paris,10,2024-07-22T04:19:01.377+02:00,3,0,2024-07-22T03:52:37+02:00,3,18,21,OUI,OUI,OUI
14108,Le Brix et Mesmin - Jourdan,48.8223409659,2.3278616533,Paris,1509,2024-07-22T04:22:00.326+02:00,3,0,2024-07-22T03:52:37+02:00,3,18,21,OUI,OUI,OUI
14108,Le Brix et Mesmin - Jourdan,48.8223409659,2.3278616533,Paris,3002,2024-07-22T04:21:00.518+02:00,3,0,2024-07-22T03:52:37+02:00,3,18,21,OUI,OUI,OUI
14108,Le Brix et Mesmin - Jourdan,48.8223409659,2.3278616533,Paris,4499,2024-07-22T04:25:00.791+02:00,3,0,2024-07-22T03:52:37+02:00,3,18,21,OUI,OUI,OUI
14108,Le Brix et Mesmin - Jourdan,48.8223409659,2.3278616533,Paris,5995,2024-07-22T04:27:00.312+02:00,3,0,2024-07-22T03:52:37+02:00,3,18,21,OUI,OUI,OUI
14108,Le Brix et Mesmin - Jourdan,48.8223409659,2.3278616533,Paris,7492,2024-07-22T04:29:00.488+02:00,3,0,2024-07-22T03:52:37+02:00,3,18,21,OUI,OUI,OUI
14108,Le Brix et Mesmin - Jourdan,48.8223409659,2.3278616533,Paris,8990,2024-07-22T04:31:00.625+02:00,3,0,2024-07-22T03:52:37+02:00,3,18,21,OUI,OUI,OUI
14108,Le Brix et Mesmin - Jourdan,48.8223409659,2.3278616533,Paris,10486,2024-07-22T04:35:00.522+02:00,3,0,2024-07-22T03:52:37+02:00,3,18,21,OUI,OUI,OUI
14108,Le Brix et Mesmin - Jourdan,48.8223409659,2.3278616533,Paris,11983,2024-07-22T04:37:01.327+02:00,3,0,2024-07-22T03:52:37+02:00,3,18,21,OUI,OUI,OUI
14108,Le Brix et Mesmin - Jourdan,48.8223409659,2.3278616533,Paris,13478,2024-07-22T04:39:00.436+02:00,3,0,2024-07-22T03:52:37+02:00,3,18,21,OUI,OUI,OUI
14108,Le Brix et Mesmin - Jourdan,48.8223409659,2.3278616533,Paris,14974,2024-07-22T04:41:00.336+02:00,3,0,2024-07-22T03:52:37+02:00,3,18,21,OUI,OUI,OUI
14108,Le Brix et Mesmin - Jourdan,48.8223409659,2.3278616533,Paris,16473,2024-07-22T04:43:01.281+02:00,3,0,2024-07-22T03:52:37+02:00,3,18,21,OUI,OUI,OUI
14108,Le Brix et Mesmin - Jourdan,48.8223409659,2.3278616533,Paris,17968,2024-07-22T04:45:01.442+02:00,3,0,2024-07-22T03:52:37+02:00,3,18,21,OUI,OUI,OUI
14108,Le Brix et Mesmin - Jourdan,48.8223409659,2.3278616533,Paris,19464,2024-07-22T04:49:00.335+02:00,3,0,2024-07-22T03:52:37+02:00,3,18,21,OUI,OUI,OUI
14108,Le Brix et Mesmin - Jourdan,48.8223409659,2.3278616533,Paris,20960,2024-07-22T04:51:01.555+02:00,3,0,2024-07-22T03:52:37+02:00,3,18,21,OUI,OUI,OUI
17044,Porte de Saint-Ouen - Bessières,48.8979224085,2.3285145101999998,Paris,11,2024-07-22T04:19:01.377+02:00,9,20,2024-07-22T03:52:05+02:00,29,12,42,OUI,OUI,OUI
